#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 -0.000085 0.006625 0.006677 0.912027 3.225259 -0.000853 0.000000 0
1 0.02 -0.000135 0.006738 0.006706 0.919377 3.223407 -0.000834 0.000000 0
1 0.02 -0.000178 0.006850 0.006734 0.926610 3.221713 -0.000817 0.000000 0
1 0.02 -0.000212 0.006963 0.006762 0.933704 3.220177 -0.000802 0.000000 0
1 0.02 -0.000236 0.007077 0.006790 0.940673 3.218797 -0.000788 0.000000 0
1 0.02 -0.000248 0.007191 0.006817 0.947562 3.217573 -0.000776 0.000000 0
1 0.02 -0.000249 0.007306 0.006843 0.954433 3.216504 -0.000765 0.000000 0
1 0.02 -0.000239 0.007421 0.006870 0.961349 3.215589 -0.000756 0.000000 0
1 0.02 -0.000218 0.007536 0.006896 0.968355 3.214827 -0.000748 0.000000 0
1 0.02 -0.000190 0.007652 0.006922 0.975468 3.214219 -0.000742 0.000000 0
1 0.02 -0.000156 0.007768 0.006948 0.982677 3.213763 -0.000738 0.000000 0
1 0.02 -0.000118 0.007884 0.006974 0.989948 3.213459 -0.000735 0.000000 0
1 0.02 -0.000080 0.008000 0.007000 0.997234 3.213307 -0.000733 0.000000 0
0 0.02 0.005549 0.002315 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005478 0.002386 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005408 0.002457 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005337 0.002528 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005267 0.002599 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005197 0.002670 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005126 0.002741 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.005056 0.002812 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.004986 0.002883 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.004915 0.002954 0.000000 0.997234 3.459990 -0.316806 0.000000 1
0 0.02 0.004845 0.003025 0.000000 0.997234 3.459990 -0.316806 0.000000 1
1 0.02 0.005088 0.003303 0.000116 1.019808 3.459990 -0.316806 0.000000 1
1 0.02 0.005303 0.003552 0.000231 1.040181 3.459882 -0.316699 0.000000 1
1 0.02 0.005477 0.003760 0.000347 1.057365 3.459666 -0.316485 0.000000 1
1 0.02 0.005598 0.003917 0.000462 1.070746 3.459342 -0.316164 0.000000 1
1 0.02 0.005661 0.004016 0.000577 1.080333 3.458909 -0.315736 0.000000 1
1 0.02 0.005662 0.004055 0.000692 1.087413 3.458368 -0.315200 0.000000 1
1 0.02 0.005604 0.004035 0.000807 1.095005 3.457718 -0.314556 0.000000 1
1 0.02 0.005491 0.003961 0.000921 1.105310 3.456958 -0.313804 0.000000 1
1 0.02 0.005332 0.003843 0.001035 1.118662 3.456088 -0.312943 0.000000 1
1 0.02 0.005138 0.003689 0.001148 1.134551 3.455108 -0.311972 0.000000 1
1 0.02 0.004921 0.003514 0.001261 1.152116 3.454016 -0.310891 0.000000 1
1 0.02 0.004695 0.003331 0.001374 1.170357 3.452812 -0.309700 0.000000 1
1 0.02 0.004472 0.003152 0.001486 1.188254 3.451496 -0.308396 0.000000 1
1 0.02 0.004267 0.002990 0.001598 1.204859 3.450066 -0.306981 0.000000 1
1 0.02 0.004088 0.002857 0.001709 1.219390 3.448523 -0.305453 0.000000 1
1 0.02 0.003946 0.002759 0.001819 1.231326 3.446864 -0.303811 0.000000 1
1 0.02 0.003846 0.002705 0.001928 1.240561 3.445091 -0.302055 0.000000 1
1 0.02 0.003790 0.002696 0.002037 1.247706 3.443200 -0.300183 0.000000 1
1 0.02 0.003780 0.002733 0.002145 1.254395 3.441193 -0.298196 0.000000 1
1 0.02 0.003812 0.002812 0.002253 1.262402 3.439069 -0.296093 0.000000 1
