#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
1 0.05002577331744065 0.005038976423016219 0.0023341520572701356 4.315030445044829e-05 0.12016327 3.08137865 0.0 0.0 0
1 0.049896099511863024 0.005040059265048288 0.0024339162921173827 4.524980069188863e-05 0.12538776 3.07876065 0.0 0.0 0
1 0.049804847392898165 0.005041120929696926 0.0025334982517343833 4.734681817666679e-05 0.13061225 3.07614265 0.0 0.0 0
1 0.049773564145276075 0.005041905010581534 0.0026330295621254016 4.8938741513001003e-05 0.13583673 3.07352465 0.0 0.0 0
1 0.04980644918444538 0.005042169670748037 0.002732640257113464 4.954612972699096e-05 0.14106122 3.07090665 0.0 0.0 0
1 0.04988902545024403 0.005041792602808042 0.002832415610531882 4.891675583275397e-05 0.14628571 3.06828865 0.0 0.0 0
1 0.049990627203373564 0.005040830949074618 0.002932376509201592 4.7143286919117594e-05 0.1515102 3.06567065 0.0 0.0 0
1 0.05007612160860006 0.0050394991490117025 0.0030324881936883547 4.462361248527905e-05 0.15673469 3.06305265 0.0 0.0 0
1 0.05012321952954979 0.005038078876782591 0.0031326872979195374 4.1890321045728854e-05 0.16195918 3.06043465 0.0 0.0 0
1 0.0501310461428899 0.005036814175111433 0.0032329107366347713 3.9410399414101216e-05 0.16718367 3.05781665 0.0 0.0 0
1 0.05011345536375562 0.005035844930246135 0.003333113923304356 3.7457048541395056e-05 0.17240816 3.05519865 0.0 0.0 0
1 0.050086168474063004 0.005035199339762116 0.0034332749054155347 3.6093976606402174e-05 0.17763265 3.05258065 0.0 0.0 0
1 0.05005894263868542 0.005034829824852294 0.003533388493497757 3.524315791399333e-05 0.18285714 3.04996265 0.0 0.0 0
1 0.05003484759437056 0.0050346612330294475 0.0036334569580982355 3.477639837461131e-05 0.18808163 3.04734465 0.0 0.0 0
1 0.050012769609207336 0.00503462727174059 0.003733482306106932 3.458378917272222e-05 0.19330612 3.04472665 0.0 0.0 0
1 0.049990083450924726 0.005034686588791953 0.0038334624537980275 3.4601757917886054e-05 0.19853061 3.04210865 0.0 0.0 0
1 0.049964513138360214 0.005034821929130538 0.003933391177283949 3.480717963139893e-05 0.2037551 3.03949065 0.0 0.0 0
1 0.0499353887629658 0.005035029508554989 0.004033260996131215 3.5192404021881324e-05 0.20897959 3.03687265 0.0 0.0 0
1 0.049904243256811406 0.005035304941971137 0.004133067623849335 3.573570882584025e-05 0.21420408 3.03425465 0.0 0.0 0
1 0.04987476321039265 0.005035631520611073 0.004232814531408438 3.63805343514975e-05 0.21942857 3.03163665 0.0 0.0 0
1 0.04985211378799074 0.005035976252524911 0.004332516017128577 3.7034676253234805e-05 0.22465306 3.02901865 0.0 0.0 0
1 0.04984187082046444 0.005036295713127205 0.004432197690068798 3.7591786922621534e-05 0.22987755 3.02640065 0.0 0.0 0
