#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
1 0.05 0.005 0.012 0.0 0.62693878 2.82743265 0.0 0.0 0
1 0.05 0.005 0.0121 0.0 0.63216327 2.82481465 0.0 0.0 0
1 0.05 0.005 0.0122 0.0 0.63738776 2.82219665 0.0 0.0 0
1 0.05 0.005 0.0123 0.0 0.64261225 2.81957865 0.0 0.0 0
1 0.05 0.005 0.0124 0.0 0.64783674 2.81696065 0.0 0.0 0
1 0.05 0.005 0.0125 0.0 0.65306122 2.81434265 0.0 0.0 0
1 0.05 0.005 0.0126 0.0 0.65828571 2.81172465 0.0 0.0 0
1 0.05 0.005 0.0127 0.0 0.6635102 2.80910665 0.0 0.0 0
1 0.05 0.005 0.0128 0.0 0.66873469 2.80648865 0.0 0.0 0
1 0.05 0.005 0.0129 0.0 0.67395918 2.80387065 0.0 0.0 0
1 0.05 0.005 0.013 0.0 0.67918367 2.80125265 0.0 0.0 0
1 0.05 0.005 0.0131 0.0 0.68440816 2.79863465 0.0 0.0 0
1 0.05 0.005 0.0132 0.0 0.68963265 2.79601665 0.0 0.0 0
1 0.05 0.005 0.0133 0.0 0.69485714 2.79339865 0.0 0.0 0
1 0.05 0.005 0.0134 0.0 0.70008163 2.79078065 0.0 0.0 0
1 0.05 0.005 0.0135 0.0 0.70530612 2.78816265 0.0 0.0 0
1 0.05 0.005 0.0136 0.0 0.71053061 2.78554465 0.0 0.0 0
1 0.05 0.005 0.0137 0.0 0.7157551 2.78292665 0.0 0.0 0
1 0.05 0.005 0.0138 0.0 0.72097959 2.78030865 0.0 0.0 0
1 0.05 0.005 0.0139 0.0 0.72620408 2.77769065 0.0 0.0 0
1 0.05 0.005 0.014 0.0 0.73142857 2.77507265 0.0 0.0 0
1 0.05 0.005 0.0141 0.0 0.73665306 2.77245465 0.0 0.0 0
1 0.05 0.005 0.0142 0.0 0.74187755 2.76983665 0.0 0.0 0
1 0.05 0.005 0.0143 0.0 0.74710204 2.76721865 0.0 0.0 0
1 0.05 0.005 0.0144 0.0 0.75232653 2.76460065 0.0 0.0 0
1 0.05 0.005 0.0145 0.0 0.75755102 2.76198265 0.0 0.0 0
1 0.05 0.005 0.0146 0.0 0.76277551 2.75936465 0.0 0.0 0
1 0.05 0.005 0.0147 0.0 0.768 2.75674665 0.0 0.0 0
1 0.05 0.005 0.0148 0.0 0.77322449 2.75412865 0.0 0.0 0
1 0.05 0.005 0.0149 0.0 0.77844898 2.75151065 0.0 0.0 0
1 0.05 0.005 0.015 0.0 0.78367347 2.74889265 0.0 0.0 0
1 0.05 0.005 0.0151 0.0 0.78889796 2.74627465 0.0 0.0 0
1 0.05 0.005 0.0152 0.0 0.79412245 2.74365665 0.0 0.0 0
1 0.05 0.005 0.0153 0.0 0.79934694 2.74103865 0.0 0.0 0
1 0.05 0.005 0.0154 0.0 0.80457143 2.73842065 0.0 0.0 0
1 0.05 0.005 0.0155 0.0 0.80979592 2.73580265 0.0 0.0 0
1 0.05 0.005 0.0156 0.0 0.81502041 2.73318465 0.0 0.0 0
1 0.05 0.005 0.0157 0.0 0.8202449 2.73056665 0.0 0.0 0
1 0.05 0.005 0.0158 0.0 0.82546939 2.72794865 0.0 0.0 0
1 0.05 0.005 0.0159 0.0 0.83069388 2.72533065 0.0 0.0 0
1 0.05 0.005 0.016 0.0 0.83591837 2.72271265 0.0 0.0 0
1 0.05 0.005 0.0161 0.0 0.84114286 2.72009465 0.0 0.0 0
1 0.05 0.005 0.0162 0.0 0.84636735 2.71747665 0.0 0.0 0
1 0.05 0.005 0.0163 0.0 0.85159184 2.71485865 0.0 0.0 0
1 0.05 0.005 0.0164 0.0 0.85681633 2.71224065 0.0 0.0 0
1 0.05 0.005 0.0165 0.0 0.86204082 2.70962265 0.0 0.0 0
1 0.05 0.005 0.0166 0.0 0.86726531 2.70700465 0.0 0.0 0
1 0.05 0.005 0.0167 0.0 0.8724898 2.70438665 0.0 0.0 0
1 0.05 0.005 0.0168 0.0 0.87771429 2.70176865 0.0 0.0 0
1 0.05 0.005 0.0169 0.0 0.88293878 2.69915065 0.0 0.0 0
1 0.05 0.005 0.017 0.0 0.88816327 2.69653265 0.0 0.0 0
1 0.05 0.005 0.0171 0.0 0.89338776 2.69391465 0.0 0.0 0
1 0.05 0.005 0.0172 0.0 0.89861225 2.69129665 0.0 0.0 0
1 0.05 0.005 0.0173 0.0 0.90383674 2.68867865 0.0 0.0 0
1 0.05 0.005 0.0174 0.0 0.90906123 2.68606065 0.0 0.0 0
1 0.05 0.005 0.0175 0.0 0.91428572 2.68344265 0.0 0.0 0
1 0.05 0.005 0.0176 0.0 0.9195102 2.68082465 0.0 0.0 0
1 0.05 0.005 0.0177 0.0 0.92473469 2.67820665 0.0 0.0 0
1 0.05 0.005 0.0178 0.0 0.92995918 2.67558865 0.0 0.0 0
1 0.05 0.005 0.0179 0.0 0.93518367 2.67297065 0.0 0.0 0
